stateid,cityid,districtid,district_name
1,1,1,ALADAG                        
1,1,2,CEYHAN                        
1,1,3,CUKUROVA                      
1,1,4,FEKE                          
1,1,5,IMAMOGLU                      
1,1,6,KARAISALI                     
1,1,7,KARATAS                       
1,1,8,KOZAN                         
1,1,9,POZANTI                       
1,1,10,SAIMBEYLI                     
1,1,11,SARICAM                       
1,1,12,SEYHAN                        
1,1,13,TUFANBEYLI                    
1,1,14,YUMURTALIK                    
1,1,15,YUREGIR                       
4,2,16,BESNI                         
4,2,17,CELIKHAN                      
4,2,18,GERGER                        
4,2,19,GOLBASI                       
4,2,20,KAHTA                         
4,2,21,MERKEZ                        
4,2,22,SAMSAT                        
4,2,23,SINCIK                        
4,2,24,TUT                           
3,3,25,BASMAKCI                      
3,3,26,BAYAT                         
3,3,27,BOLVADIN                      
3,3,28,CAY                           
3,3,29,COBANLAR                      
3,3,30,DAZKIRI                       
3,3,31,DINAR                         
3,3,32,EMIRDAG                       
3,3,33,EVCILER                       
3,3,34,HOCALAR                       
3,3,35,IHSANIYE                      
3,3,36,ISCEHISAR                     
3,3,37,KIZILOREN                     
3,3,38,MERKEZ                        
3,3,39,SANDIKLI                      
3,3,40,SINANPASA                     
3,3,41,SULTANDAGI                    
3,3,42,SUHUT                         
2,4,43,DIYADIN                       
2,4,44,DOGUBAYAZIT                   
2,4,45,ELESKIRT                      
2,4,46,HAMUR                         
2,4,47,MERKEZ                        
2,4,48,PATNOS                        
2,4,49,TASLICAY                      
2,4,50,TUTAK                         
5,68,51,AGACOREN                      
5,68,52,ESKIL                         
5,68,53,GULAGAC                       
5,68,54,GUZELYURT                     
5,68,55,MERKEZ                        
5,68,56,ORTAKOY                       
5,68,57,SARIYAHSI                     
5,68,58,SULTANHANI                    
6,5,59,GOYNUCEK                      
6,5,60,GUMUSHACIKOY                  
6,5,61,HAMAMOZU                      
6,5,62,MERKEZ                        
6,5,63,MERZIFON                      
6,5,64,SULUOVA                       
6,5,65,TASOVA                        
5,6,66,AKYURT                        
5,6,67,ALTINDAG                      
5,6,68,AYAS                          
5,6,69,BALA                          
5,6,70,BEYPAZARI                     
5,6,71,CAMLIDERE                     
5,6,72,CANKAYA                       
5,6,73,CUBUK                         
5,6,74,ELMADAG                       
5,6,75,ETIMESGUT                     
5,6,76,EVREN                         
5,6,77,GOLBASI                       
5,6,78,GUDUL                         
5,6,79,HAYMANA                       
5,6,80,KAHRAMANKAZAN                 
5,6,81,KALECIK                       
5,6,82,KECIOREN                      
5,6,83,KIZILCAHAMAM                  
5,6,84,MAMAK                         
5,6,85,NALLIHAN                      
5,6,86,POLATLI                       
5,6,87,PURSAKLAR                     
5,6,88,SINCAN                        
5,6,89,SEREFLIKOCHISAR               
5,6,90,YENIMAHALLE                   
1,7,91,AKSEKI                        
1,7,92,AKSU                          
1,7,93,ALANYA                        
1,7,94,DEMRE                         
1,7,95,DOSEMEALTI                    
1,7,96,ELMALI                        
1,7,97,FINIKE                        
1,7,98,GAZIPASA                      
1,7,99,GUNDOGMUS                     
1,7,100,IBRADI                        
1,7,101,KAS                           
1,7,102,KEMER                         
1,7,103,KEPEZ                         
1,7,104,KONYAALTI                     
1,7,105,KORKUTELI                     
1,7,106,KUMLUCA                       
1,7,107,MANAVGAT                      
1,7,108,MURATPASA                     
1,7,109,SERIK                         
2,75,110,CILDIR                        
2,75,111,DAMAL                         
2,75,112,GOLE                          
2,75,113,HANAK                         
2,75,114,MERKEZ                        
2,75,115,POSOF                         
6,8,116,ARDANUC                       
6,8,117,ARHAVI                        
6,8,118,BORCKA                        
6,8,119,HOPA                          
6,8,120,KEMALPASA                     
6,8,121,MERKEZ                        
6,8,122,MURGUL                        
6,8,123,SAVSAT                        
6,8,124,YUSUFELI                      
3,9,125,BOZDOGAN                      
3,9,126,BUHARKENT                     
3,9,127,CINE                          
3,9,128,DIDIM                         
3,9,129,EFELER                        
3,9,130,GERMENCIK                     
3,9,131,INCIRLIOVA                    
3,9,132,KARACASU                      
3,9,133,KARPUZLU                      
3,9,134,KOCARLI                       
3,9,135,KOSK                          
3,9,136,KUSADASI                      
3,9,137,KUYUCAK                       
3,9,138,NAZILLI                       
3,9,139,SOKE                          
3,9,140,SULTANHISAR                   
3,9,141,YENIPAZAR                     
7,10,142,ALTIEYLUL                     
7,10,143,AYVALIK                       
7,10,144,BALYA                         
7,10,145,BANDIRMA                      
7,10,146,BIGADIC                       
7,10,147,BURHANIYE                     
7,10,148,DURSUNBEY                     
7,10,149,EDREMIT                       
7,10,150,ERDEK                         
7,10,151,GOMEC                         
7,10,152,GONEN                         
7,10,153,HAVRAN                        
7,10,154,IVRINDI                       
7,10,155,KARESI                        
7,10,156,KEPSUT                        
7,10,157,MANYAS                        
7,10,158,MARMARA                       
7,10,159,SAVASTEPE                     
7,10,160,SINDIRGI                      
7,10,161,SUSURLUK                      
6,74,162,AMASRA                        
6,74,163,KURUCASILE                    
6,74,164,MERKEZ                        
6,74,165,ULUS                          
4,72,166,BESIRI                        
4,72,167,GERCUS                        
4,72,168,HASANKEYF                     
4,72,169,KOZLUK                        
4,72,170,MERKEZ                        
4,72,171,SASON                         
6,69,172,AYDINTEPE                     
6,69,173,DEMIROZU                      
6,69,174,MERKEZ                        
7,11,175,BOZUYUK                       
7,11,176,GOLPAZARI                     
7,11,177,INHISAR                       
7,11,178,MERKEZ                        
7,11,179,OSMANELI                      
7,11,180,PAZARYERI                     
7,11,181,SOGUT                         
7,11,182,YENIPAZAR                     
2,12,183,ADAKLI                        
2,12,184,GENC                          
2,12,185,KARLIOVA                      
2,12,186,KIGI                          
2,12,187,MERKEZ                        
2,12,188,SOLHAN                        
2,12,189,YAYLADERE                     
2,12,190,YEDISU                        
2,13,191,ADILCEVAZ                     
2,13,192,AHLAT                         
2,13,193,GUROYMAK                      
2,13,194,HIZAN                         
2,13,195,MERKEZ                        
2,13,196,MUTKI                         
2,13,197,TATVAN                        
6,14,198,DORTDIVAN                     
6,14,199,GEREDE                        
6,14,200,GOYNUK                        
6,14,201,KIBRISCIK                     
6,14,202,MENGEN                        
6,14,203,MERKEZ                        
6,14,204,MUDURNU                       
6,14,205,SEBEN                         
6,14,206,YENICAGA                      
1,15,207,AGLASUN                       
1,15,208,ALTINYAYLA                    
1,15,209,BUCAK                         
1,15,210,CAVDIR                        
1,15,211,CELTIKCI                      
1,15,212,GOLHISAR                      
1,15,213,KARAMANLI                     
1,15,214,KEMER                         
1,15,215,MERKEZ                        
1,15,216,TEFENNI                       
1,15,217,YESILOVA                      
7,16,218,BUYUKORHAN                    
7,16,219,GEMLIK                        
7,16,220,GURSU                         
7,16,221,HARMANCIK                     
7,16,222,INEGOL                        
7,16,223,IZNIK                         
7,16,224,KARACABEY                     
7,16,225,KELES                         
7,16,226,KESTEL                        
7,16,227,MUDANYA                       
7,16,228,MUSTAFAKEMALPASA              
7,16,229,NILUFER                       
7,16,230,ORHANELI                      
7,16,231,ORHANGAZI                     
7,16,232,OSMANGAZI                     
7,16,233,YENISEHIR                     
7,16,234,YILDIRIM                      
7,17,235,AYVACIK                       
7,17,236,BAYRAMIC                      
7,17,237,BIGA                          
7,17,238,BOZCAADA                      
7,17,239,CAN                           
7,17,240,ECEABAT                       
7,17,241,EZINE                         
7,17,242,GELIBOLU                      
7,17,243,GOKCEADA                      
7,17,244,LAPSEKI                       
7,17,245,MERKEZ                        
7,17,246,YENICE                        
5,18,247,ATKARACALAR                   
5,18,248,BAYRAMOREN                    
5,18,249,CERKES                        
5,18,250,ELDIVAN                       
5,18,251,ILGAZ                         
5,18,252,KIZILIRMAK                    
5,18,253,KORGUN                        
5,18,254,KURSUNLU                      
5,18,255,MERKEZ                        
5,18,256,ORTA                          
5,18,257,SABANOZU                      
5,18,258,YAPRAKLI                      
6,19,259,ALACA                         
6,19,260,BAYAT                         
6,19,261,BOGAZKALE                     
6,19,262,DODURGA                       
6,19,263,ISKILIP                       
6,19,264,KARGI                         
6,19,265,LACIN                         
6,19,266,MECITOZU                      
6,19,267,MERKEZ                        
6,19,268,OGUZLAR                       
6,19,269,ORTAKOY                       
6,19,270,OSMANCIK                      
6,19,271,SUNGURLU                      
6,19,272,UGURLUDAG                     
3,20,273,ACIPAYAM                      
3,20,274,BABADAG                       
3,20,275,BAKLAN                        
3,20,276,BEKILLI                       
3,20,277,BEYAGAC                       
3,20,278,BOZKURT                       
3,20,279,BULDAN                        
3,20,280,CAL                           
3,20,281,CAMELI                        
3,20,282,CARDAK                        
3,20,283,CIVRIL                        
3,20,284,GUNEY                         
3,20,285,HONAZ                         
3,20,286,KALE                          
3,20,287,MERKEZEFENDI                  
3,20,288,PAMUKKALE                     
3,20,289,SARAYKOY                      
3,20,290,SERINHISAR                    
3,20,291,TAVAS                         
4,21,292,BAGLAR                        
4,21,293,BISMIL                        
4,21,294,CERMIK                        
4,21,295,CINAR                         
4,21,296,CUNGUS                        
4,21,297,DICLE                         
4,21,298,EGIL                          
4,21,299,ERGANI                        
4,21,300,HANI                          
4,21,301,HAZRO                         
4,21,302,KAYAPINAR                     
4,21,303,KOCAKOY                       
4,21,304,KULP                          
4,21,305,LICE                          
4,21,306,SILVAN                        
4,21,307,SUR                           
4,21,308,YENISEHIR                     
6,81,309,AKCAKOCA                      
6,81,310,CUMAYERI                      
6,81,311,CILIMLI                       
6,81,312,GOLYAKA                       
6,81,313,GUMUSOVA                      
6,81,314,KAYNASLI                      
6,81,315,MERKEZ                        
6,81,316,YIGILCA                       
7,22,317,ENEZ                          
7,22,318,HAVSA                         
7,22,319,IPSALA                        
7,22,320,KESAN                         
7,22,321,LALAPASA                      
7,22,322,MERIC                         
7,22,323,MERKEZ                        
7,22,324,SULOGLU                       
7,22,325,UZUNKOPRU                     
2,23,326,AGIN                          
2,23,327,ALACAKAYA                     
2,23,328,ARICAK                        
2,23,329,BASKIL                        
2,23,330,KARAKOCAN                     
2,23,331,KEBAN                         
2,23,332,KOVANCILAR                    
2,23,333,MADEN                         
2,23,334,MERKEZ                        
2,23,335,PALU                          
2,23,336,SIVRICE                       
2,24,337,CAYIRLI                       
2,24,338,ILIC                          
2,24,339,KEMAH                         
2,24,340,KEMALIYE                      
2,24,341,MERKEZ                        
2,24,342,OTLUKBELI                     
2,24,343,REFAHIYE                      
2,24,344,TERCAN                        
2,24,345,UZUMLU                        
2,25,346,ASKALE                        
2,25,347,AZIZIYE                       
2,25,348,CAT                           
2,25,349,HINIS                         
2,25,350,HORASAN                       
2,25,351,ISPIR                         
2,25,352,KARACOBAN                     
2,25,353,KARAYAZI                      
2,25,354,KOPRUKOY                      
2,25,355,NARMAN                        
2,25,356,OLTU                          
2,25,357,OLUR                          
2,25,358,PALANDOKEN                    
2,25,359,PASINLER                      
2,25,360,PAZARYOLU                     
2,25,361,SENKAYA                       
2,25,362,TEKMAN                        
2,25,363,TORTUM                        
2,25,364,UZUNDERE                      
2,25,365,YAKUTIYE                      
5,26,366,ALPU                          
5,26,367,BEYLIKOVA                     
5,26,368,CIFTELER                      
5,26,369,GUNYUZU                       
5,26,370,HAN                           
5,26,371,INONU                         
5,26,372,MAHMUDIYE                     
5,26,373,MIHALGAZI                     
5,26,374,MIHALICCIK                    
5,26,375,ODUNPAZARI                    
5,26,376,SARICAKAYA                    
5,26,377,SEYITGAZI                     
5,26,378,SIVRIHISAR                    
5,26,379,TEPEBASI                      
4,27,380,ARABAN                        
4,27,381,ISLAHIYE                      
4,27,382,KARKAMIS                      
4,27,383,NIZIP                         
4,27,384,NURDAGI                       
4,27,385,OGUZELI                       
4,27,386,SAHINBEY                      
4,27,387,SEHITKAMIL                    
4,27,388,YAVUZELI                      
6,28,389,ALUCRA                        
6,28,390,BULANCAK                      
6,28,391,CAMOLUK                       
6,28,392,CANAKCI                       
6,28,393,DERELI                        
6,28,394,DOGANKENT                     
6,28,395,ESPIYE                        
6,28,396,EYNESIL                       
6,28,397,GORELE                        
6,28,398,GUCE                          
6,28,399,KESAP                         
6,28,400,MERKEZ                        
6,28,401,PIRAZIZ                       
6,28,402,SEBINKARAHISAR                
6,28,403,TIREBOLU                      
6,28,404,YAGLIDERE                     
6,29,405,KELKIT                        
6,29,406,KOSE                          
6,29,407,KURTUN                        
6,29,408,MERKEZ                        
6,29,409,SIRAN                         
6,29,410,TORUL                         
2,30,411,CUKURCA                       
2,30,412,DERECIK                       
2,30,413,MERKEZ                        
2,30,414,SEMDINLI                      
2,30,415,YUKSEKOVA                     
1,31,416,ALTINOZU                      
1,31,417,ANTAKYA                       
1,31,418,ARSUZ                         
1,31,419,BELEN                         
1,31,420,DEFNE                         
1,31,421,DORTYOL                       
1,31,422,ERZIN                         
1,31,423,HASSA                         
1,31,424,ISKENDERUN                    
1,31,425,KIRIKHAN                      
1,31,426,KUMLU                         
1,31,427,PAYAS                         
1,31,428,REYHANLI                      
1,31,429,SAMANDAG                      
1,31,430,YAYLADAGI                     
2,76,431,ARALIK                        
2,76,432,KARAKOYUNLU                   
2,76,433,MERKEZ                        
2,76,434,TUZLUCA                       
1,32,435,AKSU                          
1,32,436,ATABEY                        
1,32,437,EGIRDIR                       
1,32,438,GELENDOST                     
1,32,439,GONEN                         
1,32,440,KECIBORLU                     
1,32,441,MERKEZ                        
1,32,442,SENIRKENT                     
1,32,443,SUTCULER                      
1,32,444,SARKIKARAAGAC                 
1,32,445,ULUBORLU                      
1,32,446,YALVAC                        
1,32,447,YENISARBADEMLI                
7,34,448,ADALAR                        
7,34,449,ARNAVUTKOY                    
7,34,450,ATASEHIR                      
7,34,451,AVCILAR                       
7,34,452,BAGCILAR                      
7,34,453,BAHCELIEVLER                  
7,34,454,BAKIRKOY                      
7,34,455,BASAKSEHIR                    
7,34,456,BAYRAMPASA                    
7,34,457,BESIKTAS                      
7,34,458,BEYKOZ                        
7,34,459,BEYLIKDUZU                    
7,34,460,BEYOGLU                       
7,34,461,BUYUKCEKMECE                  
7,34,462,CATALCA                       
7,34,463,CEKMEKOY                      
7,34,464,ESENLER                       
7,34,465,ESENYURT                      
7,34,466,EYUPSULTAN                    
7,34,467,FATIH                         
7,34,468,GAZIOSMANPASA                 
7,34,469,GUNGOREN                      
7,34,470,KADIKOY                       
7,34,471,KAGITHANE                     
7,34,472,KARTAL                        
7,34,473,KUCUKCEKMECE                  
7,34,474,MALTEPE                       
7,34,475,PENDIK                        
7,34,476,SANCAKTEPE                    
7,34,477,SARIYER                       
7,34,478,SILIVRI                       
7,34,479,SULTANBEYLI                   
7,34,480,SULTANGAZI                    
7,34,481,SILE                          
7,34,482,SISLI                         
7,34,483,TUZLA                         
7,34,484,UMRANIYE                      
7,34,485,USKUDAR                       
7,34,486,ZEYTINBURNU                   
3,35,487,ALIAGA                        
3,35,488,BALCOVA                       
